Nome da Música,Nome do Artista,Ano de Lançamento,Gênero Musical,Letra da Música,Playlist
Carolina,Seu Jorge,2014,MPB,"Carolina é uma menina bem difícil de esquecer
Andar bonito e um brilho no olhar
Tem um jeito adolescente que me faz enlouquecer
E um molejo que eu não vou te enganar

Maravilha feminina, meu docinho de pavê
Inteligente, ela é muito sensual
Te confesso que estou apaixonado por você
Ô, Carolina, isso é muito natural

Ô, Carolina, eu preciso de você
Ô, Carolina, eu não vou suportar não te ver
Carolina, eu preciso te falar
Ô, Carolina, eu vou amar você

De segunda a segunda, fico louco pra te ver
Quando eu te ligo, você quase nunca está
Isso era outra coisa que eu queria te dizer
Não temos tempo, então melhor deixar pra lá

A princípio, no domingo, o que você quer fazer?
Faça um pedido, que eu irei realizar
Olha aí, amigo, eu digo que ela só me dá prazer
Essa mina Carolina é de abalar, oi

Ô, Carolina, eu preciso de você
Ô, Carolina, eu não vou suportar não te ver
Carolina, eu preciso te falar
Ô, Carolina eu vou amar você
Carolina, Carolina

Carolina, preciso te encontrar
Carolina, me sinto muito só
Carolina, preciso te dizer
Ô, Carolina, eu só quero amar você

Carolina, preciso te encontrar
Ô, Carolina, me sinto muito só
Carolina, preciso te dizer
Ô, Carolina, eu só quero amar você

Carolina é uma menina bem difícil de esquecer
Andar bonito e um brilho no olhar
Tem um jeito adolescente que me faz enlouquecer
E um molejo que eu não vou te enganar

Maravilha feminina, meu docinho de pavê
Inteligente, ela é muito sensual
Te confesso que estou apaixonado por você
Ô, Carolina, isso é muito natural

Ô, Carolina, eu preciso de você
Ô, Carolina, não vou suportar não te ver
Carolina, eu preciso te falar
Ô, Carolina, eu vou amar você

Eu vou amar você
Pois eu vou te dar muito carinho
Vou te dar beijinho no cangote
Oi, Carolina
Menina bela, menina bela
Maravilha feminina

Carolina, preciso te encontrar
Carolina, me sinto muito só
Carolina, preciso te dizer
Ô, Carolina, eu só quero amar você

Carolina, preciso te encontrar
Ô, Carolina, me sinto muito só
Carolina, preciso te dizer
Ô, Carolina, eu só quero amar você

Ô, Carolina, preciso te encontrar
Ô, Carolina, me sinto muito só
Ô, Carolina, preciso te dizer
Ô, Carolina, eu só quero amar você

Ô, Carolina, ô, Carolina (ô, Carolina)
Ô, Carolina, ô, Carolina

Carol, Carol, Carol, Carol, Carol
Carol, Carol, Carol
Carol, Carol, Carol, Carol, Carol
Carol, Carol, Carol (ô, Carolina)

Carol, Carol, Carol, Carol, Carol
Carol, Carol, Carol
Carol, Carol, Carol, Carol, Carol
Carol, Carol, Carol",Top Hits de 2001
Epitáfio,Titãs,2001,Rock,"Devia ter amado mais
Ter chorado mais
Ter visto o Sol nascer
Devia ter arriscado mais
E até errado mais
Ter feito o que eu queria fazer

Queria ter aceitado
As pessoas como elas são
Cada um sabe a alegria
E a dor que traz no coração

O acaso vai me proteger
Enquanto eu andar distraído
O acaso vai me proteger
Enquanto eu andar

Devia ter complicado menos
Trabalhado menos
Ter visto o Sol se pôr
Devia ter me importado menos
Com problemas pequenos
Ter morrido de amor

Queria ter aceitado
A vida como ela é
A cada um cabe alegrias
E a tristeza que vier

O acaso vai me proteger
Enquanto eu andar distraído
O acaso vai me proteger
Enquanto eu andar

O acaso vai me proteger
Enquanto eu andar distraído
O acaso vai me proteger
Enquanto eu andar

Devia ter complicado menos
Trabalhado menos
Ter visto o Sol se pôr",Top Hits de 2001
Lugar Ao Sol,Charlie Brown Jr.,2001,Rock,"Que bom viver, como é bom sonhar
E o que ficou pra trás passou e eu não me importei
Foi até melhor, tive que pensar em algo novo que fizesse sentido

Ainda vejo o mundo com os olhos de criança
Que só quer brincar e não tanta responsa
Mas a vida cobra sério e realmente não dá pra fugir

Livre pra poder sorrir, sim
Livre pra poder buscar o meu lugar ao Sol

Livre pra poder sorrir, sim
Livre pra poder buscar o meu lugar ao Sol

Um dia eu espero te reencontrar numa bem melhor
Cada um tem seu caminho, eu sei foi até melhor
Irmãos do mesmo Cristo, eu quero e não desisto

Caro pai, como é bom ter por que se orgulhar
A vida pode passar, não estou sozinho
Eu sei se eu tiver fé eu volto até a sonhar

Livre pra poder sorrir, sim
Livre pra poder buscar o meu lugar ao Sol

Livre pra poder sorrir, sim
Livre pra poder buscar o meu lugar ao Sol

O amor é assim, é a paz de Deus em sua casa
O amor é assim, é a paz de Deus que nunca acaba

O amor é assim, é a paz de Deus em sua casa
O amor é assim, é a paz de Deus, nunca acaba

Nossas vidas, nossos sonhos têm o mesmo valor
Nossas vidas, nossos sonhos têm o mesmo valor
Eu vou com você pra onde você for

Eu descobri que é azul a cor da parede da casa de Deus
E não há mais ninguém como você e eu",Top Hits de 2001
Relicário - Ao Vivo,Cássia Eller,2001,Rock,"É uma índia com colar
A tarde linda que não quer se pôr
Dançam as ilhas sobre o mar
Sua cartilha tem o A de que cor?

O que está acontecendo?
O mundo está ao contrário e ninguém reparou
O que está acontecendo?
Eu estava em paz quando você chegou

E são dois cílios em pleno ar
Atrás do filho vem o pai e o avô
Como um gatilho sem disparar
Você invade mais um lugar onde eu não vou

O que você está fazendo?
Milhões de vasos sem nenhuma flor
O que você está fazendo?
Um relicário imenso desse amor

Corre a Lua, por que longe vai?
Sobe o dia tão vertical
O horizonte anuncia com o seu vitral
Que eu trocaria a eternidade por essa noite

Por que está amanhecendo?
Peço o contrário: Ver o Sol se por
Por que está amanhecendo
Se não vou beijar seus lábios quando você se for?

Quem nesse mundo faz o que há durar
Pura semente, dura o futuro amor
Eu sou a chuva pra você secar
Pelo zunido das suas asas, você me falou

O que você está dizendo?
Milhões de frases sem nenhuma cor, oh
O que você está dizendo?
Um relicário imenso desse amor

O que você está dizendo?
O que você está fazendo?
Por que que está fazendo assim?

Yeah
Está fazendo assim, yeah",Top Hits de 2001
Você Me Vira A Cabeça (Me Tira Do Sério),Alcione,2001,Samba,"Você me vira a cabeça, me tira do sério
Destrói os planos que um dia eu fiz pra mim
Me faz pensar por que que a vida é assim
Eu sempre vou e volto pros teus braços

Você não me quer de verdade
No fundo eu sou tua vaidade
Eu vivo seguindo teus passos
Eu sempre estou presa em teus laços
É só você chamar que eu vou

(Por que você não vai embora de vez?)
(Por que não me liberta dessa paixão?)
Por quê?
(Por que você não diz que não me quer mais?)
(Por que não deixa livre o meu coração?)

Mas tem que me prender (tem!)
Tem que seduzir (tem!)
Só pra me deixar louca por você
Só pra ter alguém
Que vive sempre ao seu dispor
Por um segundo de amor

Mas tem que me prender (tem!)
Tem que seduzir (tem!)
Só pra me deixar louca por você
Só pra ter alguém
Que vive sempre ao seu dispor
Por um segundo de amor

Você não me quer de verdade
No fundo eu sou tua vaidade
Eu vivo seguindo teus passos
Eu sempre estou presa em teus laços
É só você chamar que eu vou

(Por que você não vai embora de vez?)
Por que você não vai embora?
(Por que não me liberta dessa paixão?)
Por quê?
(Por que você não diz que não me quer mais?)
(Por que não deixa livre o meu coração?)

Mas tem que me prender (tem!)
Tem que seduzir (tem!)
Só pra me deixar louca por você
Só pra ter alguém
Que vive sempre ao seu dispor
Por um segundo de amor

Mas tem que me prender (tem!)
Tem que seduzir (tem!)
Só pra me deixar louca por você
Só pra ter alguém
Que vive sempre ao seu dispor
Por um segundo de amor

Mas tem que me prender (tem!)
Tem que seduzir (tem!)
Só pra me deixar louca por você
Só pra ter alguém
Que vive sempre ao seu dispor
Por um segundo de amor",Top Hits de 2001
Tarde De Outubro,CPM 22,2001,Rock,"Peguei minhas coisas fui embora
Não queria mais voltar
Eu nunca quis presenciar o fim
Há dias que os dias passam devagar
Tudo se foi nada restou pra mim

Por isso estou aqui agora
Vou embora sem pensar
No que ficou pra começar ali
Mas eu só tinha algumas horas pra voltar
Tudo se foi, nada restou pra mim

São coisas que somente o tempo irá curar
Se for para nunca mais te ver chorar
São coisas que somente o tempo irá curar
Se foi tudo vai passar

Peguei minhas coisas (peguei minhas coisas)
Não queria mais voltar
Eu nunca quis presenciar o fim
Há dias que os dias passam devagar
Tudo se foi, nada restou pra mim

São coisas que somente o tempo irá curar
Se for para nunca mais te ver chorar
São coisas que somente o tempo irá curar
Se foi tudo vai passar
Tudo vai passar
Tudo vai passar",Top Hits de 2001
Só Por Uma Noite,Charlie Brown Jr.,2002,Rock,"Eu procurei em outros corpos encontrar você
Eu procurei um bom motivo pra não, pra não falar
Procurei me manter afastado
Mas você me conhece eu faço tudo errado, tudo errado

Fim de semana, eu sei lá, vou viajar
Vou me embalar, vou dar uma festa
Eu vou tocar um puteiro
Eu vou te esquecer, nem que for

Só por uma noite
Só por uma noite
Só por uma noite
Só por uma noite

Mas só de ouvir a sua voz
Eu já me sinto bem
Mas se é difícil pra você tudo bem
Muita gente se diverte com o que tem

Só de ouvir a sua voz
Eu já me sinto bem
Mas se é difícil pra você tudo bem
Quando a gente se diverte com o que tem

Se diverte com o que tem
Só por uma noite

Eu procurei em outros olhos enxergar você
Eu procurei um bom motivo pra não, pra não estar lá
Eu procurei me manter afastado
Mas você me conhece eu faço tudo errado, tudo errado

Fim de semana, eu sei lá vou viajar
Vou me embalar, vou dar uma festa
Eu vou tocar um puteiro
Eu vou te esquecer, nem que for

Só por uma noite
Só por uma noite
Só por uma noite
Só por uma noite

Mas só de ouvir a sua voz
Já me sinto bem
Mas se é difícil pra você tudo bem
Muita gente se diverte com o que tem

Só de ouvir a sua voz
Eu já me sinto bem
Mas se é difícil pra você tudo bem
Quando a gente se diverte com o que tem

Se diverte com o que tem
Só por uma noite",Top Hits de 2002
Ragatanga (Asereje) - Versão Editada,Rouge,2002,Pop,"Olha lá quem vem virando a esquina
Vem Diego com toda a alegria, festejando
Com a Lua em seus olhos, roupa de água-marinha
E seu jeito de malandro

E com magia e pura alma, ele chega com a dança
Possuído pelo ritmo ragatanga
E o DJ, que já conhece, toca o som da meia-noite
Pra Diego, a canção mais desejada

Ele dança, ele curte, ele canta

Aserehe-ra-dehe
De-hebe-tude-hebere-seibiunouba
Mahabi-an-de-bugui, an-de-buididipi
Aserehe-ra-dehe
De-hebe-tude-hebere-seibiunouba
Mahabi-an-de-bugui, an-de-buididipi
Aserehe-ra-dehe
De-hebe-tude-hebere-seibiunouba
Mahabi-an-de-bugui, an-de-buididipi

Não é por acaso que encontro todo dia
(Todo dia) por donde voy caminando
Diego tem sua magia e esta alegria
(Rasta) Rastafari afro-cigana

E com magia e pura alma, ele chega com a dança
Possuído pelo ritmo ragatanga
E o DJ, que já conhece, toca o som da meia-noite
Pra Diego, a canção mais desejada

Ele dança, ele curte, ele canta",Top Hits de 2002
Velha Infância - 2004 Digital Remaster,Tribalistas,2002,MPB,"Você é assim
Um sonho pra mim
E quando eu não te vejo
Eu penso em você
Desde o amanhecer
Até quando eu me deito

Eu gosto de você
E gosto de ficar com você
Meu riso é tão feliz contigo
O meu melhor amigo é o meu amor

E a gente canta
E a gente dança
E a gente não se cansa
De ser criança
A gente brinca
Na nossa velha infância

Seus olhos, meu clarão
Me guiam dentro da escuridão
Seus pés me abrem o caminho
Eu sigo e nunca me sinto só

Você é assim
Um sonho pra mim
Quero te encher de beijos
Eu penso em você
Desde o amanhecer
Até quando eu me deito

Eu gosto de você
E gosto de ficar com você
Meu riso é tão feliz contigo
O meu melhor amigo é o meu amor

E a gente canta
A gente dança
A gente não se cansa
De ser criança
A gente brinca
Na nossa velha infância

Seus olhos, meu clarão
Me guiam dentro da escuridão
Seus pés me abrem o caminho
Eu sigo e nunca me sinto só

Você é assim
Um sonho pra mim
Você é assim

Você é assim
Um sonho pra mim
Você é assim

Você é assim
Um sonho pra mim
Você é assim

Você é assim
Um sonho pra mim
E quando eu não te vejo
Eu penso em você
Desde o amanhecer
Até quando eu me deito

Eu gosto de você
E gosto de ficar com você
Meu riso é tão feliz contigo
O meu melhor amigo é o meu amor",Top Hits de 2002
Girassol,Cidade Negra,2002,Reggae,"A favor da comunidade
Que espera o bloco passar
Ninguém fica na solidão
Embarca com suas dores
Pra longe do seu lugar

A favor da comunidade
Que espera o bloco passar
Ninguém fica na solidão
O bloco vai te levar
Ninguém fica na solidão

A verdade prova que o tempo é o senhor
Dos dois destinos, dos dois destinos
Já que pra ser homem tem que ter
A grandeza de um menino, de um menino
No coração de quem faz a guerra
Nascerá uma flor amarela
Como um girassol
Como um girassol
Como um girassol amarelo, amarelo

Todo dia, toda hora, na batida da evolução
A harmonia do passista vai encantar a avenida
E todo o povo vai sorrir, sorrir, sorrir
E todo o povo vai sorrir, sorrir, sorrir

A verdade prova que o tempo é o senhor
Dos dois destinos, dos dois destinos
Já que pra ser homem tem que ter
A grandeza de um menino, de um menino
No coração de quem faz a guerra
Nascerá uma flor amarela
Como um girassol
Como um girassol
Como um girassol amarelo, amarelo",Top Hits de 2002
